,musica,cantor
280,Sentimento Safari,Julinho Ksd
281,Dona Maria,Nenny
282,Clutch,STRLGHT
283,Gunslinga,"Pegboard Nerds, MC Mota"
284,Feen,"Luh Kel, Trippie Redd"
285,De Novo - Remix,"Xamã, Agnes Nunes, Neo Beats"
286,Lance Criminoso (feat. BK),"Papatinho, Xamã, MC Cabelinho, BK"
287,War,"Filipe Ret, Dallass"
288,Otu caminho,Loreta Kba
289,Skeci Di Mi,Loreta Kba
290,Kenny G,Matuê
291,Pandora,"Sant, Tiago Mac, Bukola 2Tey"
292,30 Dias,"Yunk Vino, Sidoka"
293,Rotina,Uzzy
294,Deep Inside Of Me (feat. MKLA),"Vintage Culture, Adam K, MKLA"
295,Heathens,Dance Fruits Music
296,Sombra (feat. Chyna),"Walez, Alley, Chyna"
297,Ibiza,Tyga
298,Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch"
299,Vossi Bop,Dance Fruits Music
300,Trap Queen,Dance Fruits Music
301,Designer Tings,Yvng Scuba
302,Streets,Doja Cat
303,Goosebumps,HVME
304,Levitating (feat. Prakriti Kakar & Sukriti Kakar) [Amaal Mallik Remix],"Dua Lipa, Amaal Mallik, Prakriti Kakar, Sukriti Kakar"
305,when the party's over,Billie Eilish
306,Quadro,Sidoka
307,Mds,"Kawe, Mc Lele JP, Original Quality"
308,Castelo de Areia,"BIN, Dallass, Mainstreet, Ajaxx"
309,De Novo,"Xamã, Neo Beats"
310,te deixo voar,"Luccas Carlos, Felp 22, Pedro Lotto, Duani"
311,Quero Você,"DONATTO, MC Kevin o Chris"
312,Sagitário,"Xamã, Gustah"
313,212 Vip,MC Caverinha
314,shots in the dark (with Trippie Redd),"iann dior, Trippie Redd"
315,Lobo,"Orochi, Mc Poze do Rodo, Mainstreet, Ajaxx"
316,Se Liga,"MC Ryan SP, MC Hariel, MC Cabelinho, Xamã"
317,Tequila Shots,Kid Cudi
318,Back to the Streets (feat. Jhené Aiko),"Saweetie, Jhené Aiko"
319,Replace Me (feat. Big Sean & Don Toliver),"Nas, Big Sean, Don Toliver"
320,Hold Me Down,"CMDWN, FIJI, Nue"
321,Tommie Smith,Baco Exu do Blues
322,Só Te Avisado,"Jean Tassy, Preto & Branco, Zero"
323,Quantas Vezes?,"2STRANGE, Mozart Mz"
324,Homem de Lata,"Doncesão, Hot e Oreia, Chave Beats"
325,New Life,"Akon, Mali Music"
326,Worked Hard,"Lxst, Tay Keith"
327,Kurt Cobain (feat. Dolla e Luccas Carlos),"Batz Ninja, Dolla, Luccas Carlos"
328,"Tragos, Balas e Taças de Vinho - Remix","Menestrel, Josefitos, Sain"
329,Eu Sei,"Vk Mac, Chief"
330,Otherside,Post Malone
331,Tyler Herro,Jack Harlow
